"url","player_name","player_games_played","player_games_started","player_minutes_per_game","player_points_per_game","player_offensive_rebounds__per_game","player_defensive_rebounds_per_game","player_rebounds_per_game","player_assists_per_game","player_steals_per_game","player_blocks_per_game","player_turnovers_per_game","player_fouls_per_game","player_assist_to_turnover_ratio","team","season_type","season_year","player_id"
"https://www.espn.com/nba/player/_/id/2178/mo-williams?year=2009-10&team=CLE","Mo Williams",22,22,32.9,15.2,0.3,2.3,2.5,5.6,0.9,0,3,2.7,1.9,"LAC","Regular season","2010-11",
"https://www.espn.com/nba/player/stats/_/id/2830/sharrod-ford","Sharrod Ford",3,0,4.3,1.3,0.3,0.7,1,0,0,0.3,0.7,2.3,0,"PHX","Not clear","2005-06",
"https://www.espn.com/nba/player/_/id/1704/curtis-borchardt","Curtis Borchardt",16,0,16.1,3.6,0.8,2.6,3.4,0.9,0.3,0.9,1.1,2.5,0.8,"UTAH","Not clear","2003-04",
"https://www.espn.com/nba/player/_/id/3233/tiago-splitter?year=2015-16&team=ATL","Tiago Splitter",60,6,12.3,4.6,1.2,2.2,3.4,0.4,0.5,0.3,0.5,1.5,0.8,"SA","Not clear","2010-11",
"https://www.espn.com/nba/player/_/id/89/torraye-braggs?year=2003-04&team=HOU","Torraye Braggs",11,0,12,3.1,1.4,1.7,3.1,0.5,0.4,0.2,1.1,1.9,0.5,"HOU","Regular season","2003-04",
"https://www.espn.com/nba/player/_/id/2775/jason-maxiell?year=2013-14&team=ORL","Jason Maxiell",26,0,6.1,2.3,0.5,0.6,1.1,0.1,0.2,0.2,0.4,0.5,0.3,"DET","Not clear","2005-06",
"https://www.espn.com/nba/player/_/id/2581177/rodney-hood?year=2019-20&team=POR","Rodney Hood",50,21,21.3,8.7,0.2,2.2,2.3,1.7,0.6,0.2,0.9,2.4,1.9,"UTAH","Not clear","2014-15",
"https://www.espn.com/nba/player/_/id/3136991/dakota-mathias","Dakota Mathias",8,2,15.4,6,0.1,0.8,0.9,1.6,0.1,0.4,0.1,0.9,16,"PHI","Not clear","2020-21",
"https://www.espn.com/nba/player/_/id/4017843/thon-maker?year=2016-17&team=MIL","Thon Maker",57,34,9.9,4,0.7,1.3,2,0.4,0.2,0.5,0.3,1.5,1.3,"MIL","Not clear","2016-17",
"https://www.espn.com/nba/player/_/id/3056602/semi-ojeleye?year=2021-22&team=LAC","Semi Ojeleye",73,0,15.8,2.7,0.5,1.7,2.2,0.3,0.3,0.1,0.3,1.2,1,"BOS","Not clear","2017-18",
"https://www.espn.com/nba/player/stats/_/id/1029/loren-woods","Loren Woods",60,0,8.6,1.8,0.8,1.3,2,0.4,0.3,0.6,0.6,1,0.7,"MIN","Not clear","2001-02",
"https://www.espn.com/nba/player/_/id/6595/orlando-johnson","Orlando Johnson",51,0,12.1,4,0.4,1.8,2.2,0.9,0.2,0.2,0.6,1,1.5,"IND","Not clear","2012-13",
"https://www.espn.com/nba/player/stats/_/id/3437/jj-hickson","JJ Hickson",62,0,11.4,4,0.8,1.8,2.7,0.1,0.2,0.5,0.7,1.3,0.1,"CLE","Not clear","2008-09",
"https://www.espn.com/nba/player/_/id/1135/chris-andersen?year=2009-10&team=DEN","Chris Andersen",45,0,16.3,5.6,1.7,3.2,4.9,0.4,0.5,1.3,0.6,1.8,0.7,"DEN","Not clear","2010-11",
