url,player_name,player_games_played,player_games_started,player_minutes_per_game,player_points_per_game,player_offensive_rebounds__per_game,player_defensive_rebounds_per_game,player_rebounds_per_game,player_assists_per_game,player_steals_per_game,player_blocks_per_game,player_turnovers_per_game,player_fouls_per_game,player_assist_to_turnover_ratio,team,season_type,season_year,player_id,inferred_position,pts_per_36,ast_per_36,reb_per_36,scoring_impact,playmaking_impact,defensive_impact,availability_score,overall_impact,efficiency_metric,next_player_points_per_game,predicted_player_points_per_game,next_player_assists_per_game,predicted_player_assists_per_game,next_player_rebounds_per_game,predicted_player_rebounds_per_game
https://www.espn.com/nba/player/stats/_/id/371/jaren-jackson,Jaren Jackson,28,0,5.7,2.4,0.6,0.3,0.9,0.5,0.5,0.0,0.6,0.6,0.8,NJ,Not clear,1990,,SF,15.157894736842104,3.1578947368421053,5.684210526315789,14.546029814420445,5.769211002069647,6.598984771573603,33.33333333333333,15.061889730349256,9.354120267260578,2.4,,0.5,,0.9,
https://www.espn.com/nba/player/_/id/40/dana-barros,Dana Barros,81,25,20.1,9.7,0.4,1.2,1.6,2.5,0.7,0.0,1.5,1.2,1.7,SEA,Not clear,1990,,SG,17.373134328358205,4.477611940298507,2.8656716417910446,23.58093348287464,14.152030498927912,13.197969543147202,98.76543209876543,37.4240914059288,29.621380846325167,,,,,,
https://www.espn.com/nba/player/stats/_/id/702/glen-rice,Glen Rice,77,60,30.0,13.6,1.3,3.3,4.6,1.8,0.9,0.4,1.5,2.6,1.2,MIA,Not clear,1990,,SG,16.32,2.16,5.52,30.816184971098266,7.004982826181608,29.9492385786802,93.82716049382715,40.399391717446804,43.42984409799555,13.6,,1.8,,4.6,
https://www.espn.com/nba/player/stats/_/id/524/george-mccloud,George McCloud,44,0,9.4,2.7,0.3,0.7,1.0,1.0,0.4,0.1,0.8,1.3,1.3,IND,Not clear,1990,,SF,10.340425531914894,3.8297872340425534,3.8297872340425534,10.541434017955972,8.318072101026328,8.62944162436548,53.086419753086425,20.143841874108553,10.91314031180401,2.7,,1.0,,1.0,
https://www.espn.com/nba/player/_/id/420/shawn-kemp,Shawn Kemp,81,1,13.8,6.5,1.8,2.5,4.3,0.3,0.6,0.9,1.3,2.5,0.2,SEA,Not clear,1990,,PF,16.956521739130434,0.7826086956521738,11.217391304347826,19.138979643126415,1.3663100560728618,27.91878172588832,98.76543209876543,36.79737588096326,24.05345211581292,,,,,,
https://www.espn.com/nba/player/_/id/205/vlade-divac?year=2002-03&team=SAC,Vlade Divac,82,5,19.6,8.5,2.0,4.2,6.2,0.9,1.0,1.4,1.3,2.9,0.7,LAL,Not clear,1990,,PF,15.612244897959183,1.6530612244897958,11.387755102040815,20.859108961503676,3.7020381177481876,45.68527918781725,100.0,42.56160656676728,34.075723830734965,8.5,,0.9,,6.2,
https://www.espn.com/nba/player/_/id/517/anthony-mason,Anthony Mason,21,0,5.1,1.8,0.5,1.1,1.6,0.3,0.1,0.1,0.5,1.0,0.6,NJ,Not clear,1990,,SF,12.705882352941178,2.1176470588235294,11.294117647058826,12.104862291737506,3.7256893952975703,7.614213197969542,24.691358024691358,12.034030727423993,9.35412026726058,1.8,,0.3,,1.6,
https://www.espn.com/nba/player/_/id/715/david-robinson?year=2001-02&team=SA,David Robinson,82,81,36.6,24.3,3.7,8.3,12.0,2.0,1.7,3.9,3.1,3.2,0.6,SA,Not clear,1990,,C,23.901639344262293,1.9672131147540983,11.803278688524589,56.378394769259934,5.1357114527105585,98.98477157360405,100.0,65.12471944889364,80.62360801781736,24.3,,2.0,,12.0,
https://www.espn.com/nba/player/_/id/799/felton-spencer,Felton Spencer,81,46,25.9,7.1,3.4,4.6,7.9,0.3,0.6,1.5,1.0,4.2,0.3,MIN,Not clear,1991,,C,9.86872586872587,0.416988416988417,10.980694980694983,16.21346515797383,0.8220937856659399,44.670050761421315,98.76543209876543,40.117760450956624,34.07572383073497,7.1,,0.3,,7.9,
https://www.espn.com/nba/player/stats/_/id/115/matt-bullard,Matt Bullard,18,0,3.5,2.2,0.3,0.4,0.8,0.1,0.2,0.0,0.2,0.6,0.5,HOU,Not clear,1991,,SF,22.628571428571433,1.0285714285714287,8.22857142857143,21.224883016790535,1.7489292439706063,4.060913705583756,20.98765432098765,12.005595071833138,8.68596881959911,,,,,,
